TweetID,Tweet1,Type1,Tweet2,Type2,Tweet3,Type3,Tweet4,Type4,Tweet5,Type5,Tweet6,Type6,Tweet7,Type7,Tweet8,Type8,Tweet9,Type9,Tweet10,Type10,Rated,P1,C1,P2,C2,P3,C3,P4,C4,P5,C5
EJPGjournal,"We are on the LOOKOUT 👀 for Gender Updates 🗣️ What's a Gender Update? 🧐 👉 A short topical piece(1000 words) on gender-related politics and policy (eg. election analyses, policy changes, new regulation, social mobilization, etc...) Got an 💡idea? GET IN TOUCH!",tweet,"We are on the LOOKOUT 👀 for Gender Updates 🗣️ What's a Gender Update? 🧐 👉 A short topical piece(1000 words) on gender-related politics and policy (eg. election analyses, policy changes, new regulation, social mobilization, etc...) Got an 💡idea? GET IN TOUCH!",tweet,"We are on the LOOKOUT 👀 for Gender Updates 🗣️ What's a Gender Update? 🧐 👉 A short topical piece(1000 words) on gender-related politics and policy (eg. election analyses, policy changes, new regulation, social mobilization, etc...) Got an 💡idea? GET IN TOUCH!",tweet,"We are on the LOOKOUT 👀 for Gender Updates 🗣️ What's a Gender Update? 🧐 👉 A short topical piece(1000 words) on gender-related politics and policy (eg. election analyses, policy changes, new regulation, social mobilization, etc...) Got an 💡idea? GET IN TOUCH!",tweet,"We are on the LOOKOUT 👀 for Gender Updates 🗣️ What's a Gender Update? 🧐 👉 A short topical piece(1000 words) on gender-related politics and policy (eg. election analyses, policy changes, new regulation, social mobilization, etc...) Got an 💡idea? GET IN TOUCH!",tweet,"We are on the LOOKOUT 👀 for Gender Updates 🗣️ What's a Gender Update? 🧐 👉 A short topical piece(1000 words) on gender-related politics and policy (eg. election analyses, policy changes, new regulation, social mobilization, etc...) Got an 💡idea? GET IN TOUCH!",tweet,Insights from about how conservative women in US state legislatures frame anti-abortion policy standpoints in feminist terms 💡 #WomenAlsoKnowStuff,retweet,Find out how Latin America is leading the way in fighting violence and harassment against women in politics 💡 📖 's article on the topic is currently FREE to access 🤩 ➡️ #VAW #EJPG,tweet,Find out how Latin America is leading the way in fighting violence and harassment against women in politics 💡📖 's article on the topic is currently FREE to access 🤩 ➡️ #VAW #EJPG,tweet,Find out how Latin America is leading the way in fighting violence and harassment against women in politics 💡 📖 's article on the topic is currently FREE to access 🤩 ➡️ #VAW #EJPG,tweet,0,,,,,,,,,,
LSDolph_,"To be clear: If Republicans hadn't blocked efforts in WI/MI/PA to count mail-in votes early, we would have known last night that Biden was going to win MI/WI. They knew exactly what they were doing, and Trump is now inciting his supporters based on lies, lies, and more lies.",retweet,The House has voted 232 to 197to impeach President Trump for inciting insurrection. 10 Republicans joined 222 Democrats: Gonzalez (OH) Rice (SC) Newhouse (WA) Meijer (MI) Kinzinger (IL) Katko (NY) Cheney (WY) Herrera Beutler (WA) Upton (MI) Valadao (CA) 4 Rs did not vote.,retweet,"Voters have started receiving their ballots for the Recall. Until September 14th, EVERY DAY IS ELECTION DAY. So much is at stake, like raising wages, workplace safety, access to affordable care. Vote NO to keep a Trump-style extremist from becoming Governor. #NoRecall",retweet,"Kamala Harris says the way to protect women’s reproductive rights is to vote for Dems, but Nancy Pelosi, Steny Hoyer &amp; James Clyburn are out stumping for anti-choice candidates. Nancy says she misses the old GOP, back when it had some values; I feel the same about the Democrats",retweet,Elon Musk just endorsed the Republican Party ahead of the Midterms. The head of Twitter supports a party that does not believe a woman has the right to an abortion even in the case of rape or incest. The billionaire CEO also wants senior citizens to lose their Social Security.,retweet,"It is outrageous, if unsurprising, that Trump would praise Putin’s murderous invasion of Ukraine as an act of “genius.” It should concern us all that Putin is exactly the kind of leader Trump would like to be, and that so few Republicans have the courage to say this out loud.",retweet,They’re accusing Biden of taking adderall because Trump is addicted to adderall. They’re accusing Biden of having dementia because Trump has dementia. They’re accusing Hunter Biden of shady Russian deals because Don Jr. confessed to treasoning with Russia. Any questions?,retweet,"The State of Mississippi has a Black population of around 37.8%, which is one of the highest of all states in this country. You have a Black man running for Senate(Mike Espy) who is down by only 5 points, and Dem donors ignore the hell out of him as if he doesn't even exist.",retweet,"hearing ""where were the polls for clinton and trump four years ago at this point in the election?"" is making me woozy and anxious #PresidentialDebate2020",tweet,Massive congratulations to Sarah McBride on winning a State Senate seat in Delaware and becoming the first Trans State Senator in US History.,retweet,0,,,,,,,,,,
LaBonteLisa,"@elonmusk You're blinded by your anti-Right bias. It's not about the Right. Most moderates &amp; Democrats also have not veered off the woke cliff. Aka The Majority. Despite what noisy bullies w social media bullhorns would have many believe, Americans by-and-large are not divided. Actually💖",tweet,"@TheLeoTerrell Yes. Now waiting for Bernie to switch to #Democrat. Can see that as a great move to garner greater political capital for himself. Wait for it. There's no reason for him to be an Independent, I's are typically Centrist -he's Progressive / Socialist much further left than Democrat",reply,"Government censorship of Americans' speech on social media is a violation of the First Amendment, unless the Biden administration now considers the Constitution itself 'misinformation.' This will not stand.",retweet,"@elonmusk Well the simplest example of ""nope"" is Bill Maher, Democrat and so many others also using the term in derogatory fashion. That word, the term woke is not a Republican construct. That's all.",tweet,"US candidates + voters: a broken system Pennsylvania state representative re-elected despite being dead. ""We are proud to see the voters to continue to show their confidence in him and his commitment to Democratic values by re-electing him posthumously"" PA House Democrats said.",tweet,As a registered Independent I move more to the political right every day that goes by as the destructive policies of the ALT-LEFT run amok &amp; are outed. Democrat party has been increasingly hijacked &amp; is headed off a cliff. MILLIONS of the #Democrat base are jumping ship #facts,reply,"*deliberately It's called election interference, fraud. And they didn't try, they succeeded. They kept enough in the dark long enough. Former Twitter employees should be prosecuted. But no one in US government has the balls so, carry on.",reply,Recall we are running an annual budget deficit (2021 was -$2.5T). Taxes used for $900 BILLION yearly INTEREST (13% of budget) on $30T Nat'l debt! Maybe we're paying right amt of taxes but inept Congress OVERSPENDS on political slush &amp; foreign aid. An economist want to weigh in?,reply,"BIASED employees given too much power. ""Ousted Twitter top lawyer made calls to ban Trump, censor Hunter Biden laptop story"" Also FIRED former CTO/UNQUALIFIED CEO &amp; CFO An EPIC @Jack failure. Rather than 'right the ship' he jumped ship @elonmusk #FIXIT",tweet,"She vocalized what many were thinking &amp; likely many were yelling AT their TVs BUT there used to be decorum in Congress and politics (the 'Squad' and the likes of Maxine Waters and Donald Trump represented the beginning of the end to professional, level-headed, mature behavior)😣",reply,0,,,,,,,,,,
PhDVoice,Can someone tell me a bit more about algorithmic bias? We talk a lot about EDI considerations in most aspects of life today but what about EDI considerations for the algorithms that govern social media?,retweet,"bad reviewers in academia. So, you need to be as gentle about it as you can. Thank the reviewer for their comment and the effort they put in, then politely discuss why the comment is not applicable. If you want more juicy nuggets on writing good academic papers and how...👇",reply,"Nobody talks about this issue in academia where young trainees from foreign countries deals with the fear of failures, loneliness and cultural shock, in silence. Do you think we should make a social platform where you can talk openly?",retweet,Anonymous question “any other PhD students not get along with their PI and want to change but can’t because they are the only person in your field of research in the department? Or changed project to keep scholarship if PI tries to fire you! Help needed please!” #PhDVoice,tweet,Could you put something like “to the authors knowledge…” then ur saying as far as ur aware what ur saying is correct. But allowing for the fact there might be other research out there that is different and you can update in the future. ( I think this is more for publication),retweet,"So, 4 years, a global pandemic, a few almost breakdowns😂🤯 and I have finally #submittedmyphd. Not sure what to do with myself if I'm honest. Felt a bit anti-climatic just clicking a button but on the plus side, it's almost over right? 🤔👍 #phdlife #phdchat #vitaminDdeficiency",retweet,"Happy to have been interviewed for this important article, I call for federal government changes to increase #PhD stipends to at least minimum wage. #phdvoice #auspol",retweet,"One of the best parts of being at a small institution is that I get to take on a lot of responsibility right away. For example, I'm redesigning the entire Political Science curriculum. On the other hand, I have no idea what I'm doing at any given moment. #phdlife",retweet,"Have felt alot of guilt about taking off today for ‘annual leave’, but politely reminded myself that in any other job this was a totally legitimate thing to do &amp; necessary for recharging during fieldwork - so take this as your cue to be gentle with yourself &amp; do the same #phdlife",retweet,"postpones defence date), mental health, social life (tries to dictate whom the phd student can be friends with, infact even talks to other supervisor stating that the friendship of the students is affecting their productivity). When i told the supervisor that i don’t...👇",reply,0,,,,,,,,,,
weinberz,"If you are a white liberal who chanted ""Stop Asian Hate!"" when Trump called COVID a ""Chinese virus,"" but are silent when Biden implements an ineffective travel restriction that only encourages more xenophobia and attacks, you are part of the problem.",retweet,"Week 5 of the UAW strike for #FairUCNow. Many faculty facing pile of grading usually done by striking TAs, pressure from admin to ""just get it done."" Academic Senate has helpful advice: ""If you are unable to assign grades, you may elect to not submit them or use the NR grade.""",retweet,"Acrimony and shenanigans in ratification vote with allegations against UAW staffers at UCSF and calls for more democratic organizing, call to action, and is a signed letter. #VoteNo #UAWonStrike #FairUCNow",retweet,"The billionaires who created this mess are sure busy trying to blame those of us trying to solve it. Corporate Democrats like Moritz have been running San Francisco for decades. Time for a change, yes, just not the kind that this conservative billionaire has in mind.",retweet,"UC comrades, regardless of vote outcome there’s work to be done to codify democratic rank and file principles in your and other unions’ bylaws. is convening workshops to help unions become true rank-and-file led orgs. Sign-up for updates👇",retweet,Protections for trans incarcerated people are being **reversed** this year under Democratic leaders in New York City (: ) and New Jersey (: ),retweet,it can be an even better signal because it means that you are also willing to work in a more rapid and collaborative way that focuses on the science. I think democratization of publishing has huge potential benefits here,reply,"Retweet if you think its time for a vote of no confidence in ? $1m pa, rent free $6m house, $2bn investment in Blackstone that will deepen housing crisis for all who work , accepting a cut in real terms from Governor’s budget despite rising costs 1/2",retweet,"Such an important essay that explains why we can describe anti trans violence as driven by centrist and liberal ideologies as well as the right. Ty nyt, Atlantic, et al",retweet,“There are so many problems and opportunities that require the leadership of a Senate-confirmed director...and it’s getting harder to understand why a nomination hasn’t been made when there are outstanding individuals willing to take on the job.”,retweet,0,,,,,,,,,,
AdamParkhomenko,"The election of Speaker Kevin McCarthy is a troubling sign of what’s to come from the Republican Majority. At every turn, he has put power and politics ahead of the health and well-being of our democracy and the American people. 1/3",retweet,President Biden ordered on Wednesday the Chinese spy balloon be shot down. The US was able to gather valuable intelligence monitoring it since then while waiting to shoot it down when it would not risk American lives. Republicans are upset no Americans died and we have new intel.,tweet,"BREAKING (CNN): The House Ways and Means Committee now has six years of Donald Trump's federal tax returns, ending a yearslong pursuit by Democrats to dig into one of the former president's most closely guarded personal details.",tweet,"So far these big important hearings about twitter have only produced everyone calling Trump a pussy ass bitch. That’s probably what Republicans wanted, right?",tweet,Friendly reminder the Trump administration repealed more than 100 Obama-Biden era clean environmental laws.,tweet,Why is Republican Rep. Good wearing President Obama’s tan suit in January?,tweet,"Thanks to everybody who voted for these unserious, anti-democratic arsonists who will be paid over $170,000 a year of taxpayer money to keep burning it all down. Good work.",retweet,Virginia has never elected a Black woman to Congress. There is an open seat in Virginia for the US House. On Tuesday there is a Democratic Primary to select the nominee. Please retweet and spread the word.,tweet,"Can we get 1,000 retweets on this important election message from Democrat Adam Frisch who came within 546 votes of defeating Lauren Boebert",retweet,"Can we get 1,000 retweets on this important election message from Democrat Adam Frisch who came within 546 votes of defeating Lauren Boebert",tweet,0,,,,,,,,,,
LEAD_Coalition,Senators call on #Medicare to offer broad coverage of #Alzheimers treatments as public pressure grows by #dementia #Leqembi,tweet,@SenatorCollins and have been stalwart allies of the #Alzheimers/#dementia community for well over a decade and indispensable leaders on our issues in Congress. Our issues are not partisan. Both senators were caregivers as their dads battled Alzheimer's disease.,reply,Social prescribing may help reduce symptoms of #depression in people with #dementia via #Alzheimers,tweet,"Sometimes, carers who are most in need of respite are so mentally exhausted that they struggle to think of what to do when they get a break. We can help each other and ourselves. #Alzheimers #dementia #mentalhealth",tweet,"Clinicians' ability to provide more equitable, timely, accurate, compassionate, and actionable detection and diagnosis depends on advancing the #science in ways that democratize meaningful access. Thank you and ! #Alzheimers #dementia",tweet,Co-housing and #dementia villages: Social innovations offer alternatives for long-term care via #Alzheimers,tweet,Decades of neglect in nursing homes spur Biden plan for staff mandates by #Alzheimers #dementia,tweet,"Sometimes, it can seem as though a person living with #Alzheimers disease or another form of #dementia is speaking another language. Will the frustration get the better of us or will we push ourselves to learn the meaning of their words and actions? #quote",tweet,"Our family is committed to tikkun olam: repair the world. Mom's scholarship bore witness to the Holocaust, Dad opened professional doors to marginalized peoples, my brother transforms health in lower income countries, I aim to end #dementia/#Alzheimers. We mourn, but cannot rest.",reply,"Hopefully, the neurologist will determine that your dad has something treatable and reversible -- not #Alzheimers or another disease that can cause #dementia. If it is bad news, there are several medications that typically are covered by Medicare or private insurance (1/3)",reply,0,,,,,,,,,,
LemonSlayerUS,"New legal/surveillance explainer: Biden admin is preparing to ramp up a push to persuade Congress to reauthorize Section 702, the warrantless surveillance law expiring in December. This cycle, Trump-style Republicans join civil libertarians in skepticism.",retweet,"This is utterly shameless. Under #Trump, @mikepompeo headed up a U.S. policy that sought to blackmail #Ukraine (by withholding aid) into dishing dirt on #Biden. And let's not forget what #Pompeo furiously told : - “Do you think Americans care about f***ng #Ukraine?”",retweet,"IANAL, but Pence's claims seem imaginary since he was neither a Senator nor a Representative. Even if he was momentarily ""President of the Senate"" for election vote counting purposes, I just don't see him getting ""speech and debate"" clause protection.",reply,"John Eastman, the conservative lawyer who helped lead Donald Trump’s legal strategy to undermine the 2020 election results, is fighting efforts to strip his California law license. On his latest 112-page court filing:",retweet,"GOP Senator Mike Lee sits in disbelief that Biden claims GOP wants to cut social security &amp; Medicare. Here is (checks notes) Sen Mike Lee saying that's EXACTLY what GOP wants. ""phase out Social Security, pull it up from the roots, get rid of it."" #SOTU",retweet,"Right as American families are starting to breathe easier, House Republicans propose a 30% sales tax on everything from food to clothing to school supplies. We should be making life more affordable for middle-class families – not more expensive.",retweet,"Or to put it another way: Joe Biden: 100% of his properties searched by FBI Donald Trump: parts of 16% of his US-based properties, not including those held by the kids",retweet,"Among others, McConnell put Florida judge Aileen Cannon on the bench. After Trump lost the election.",retweet,"When Congress holds hearing on the Chinese balloon, make sure we include the ones that crossed over US territory while Trump was president that were never shot down or disclosed to the American people.",retweet,"Democrats have no principles on foreign policy, says Andrew McCarthy, who launched his punditry career two decades ago with a throaty defense of torture and built on that by calling Barack Obama a sharia socialist",retweet,0,,,,,,,,,,
donwinslow,"Nassau County GOP leaders have called for Rep. George Santos to resign from office over his lies to voters. If he does, it could be a ""real challenge for House Republican leaders"" as it would set up a special election in a district that leans Democratic, says CNN's .",retweet,NO ONE IS SAYING IGNORE. I NEVER SAID THAT. I AM SAYING CONDEMN WITHOUT AMPLIFYING. WE ALL SHOULD CALL OUT TRUMP'S LIES BUT WE SHOULD DO IT WITHOUT RETWEETING HIS SPEECHES.,reply,".@NikkiHaley never met a position she would not change. Next to Trump, arguably the most transactional politician in the game and an empty human. Zero chance of being elected. Her campaign, like others, will only serve to split the Republican vote and help Trump like 2016.",tweet,"Lots of ""talk"" about police reform on the talk shows. But no one is talking about what happened last time. No one has told the real story about how @SenatorTimScott, @LeaderMcConnell and Donald Trump blocked police reform. They would not even vote for banning the 'choke hold'",retweet,"Lots of ""talk"" about police reform on the talk shows. But no one is talking about what happened last time. No one has told the real story about how @SenatorTimScott, @LeaderMcConnell and Donald Trump blocked police reform. They would not even vote for banning the 'choke hold'",tweet,"Ohio has a GOP Gov, GOP Senate, GOP House Norfolk Southern train derailed in a GOP county CEO is a huge GOP &amp; Trump donor GOP Gov set toxins on fire GOP Gov didn’t call Biden back for days and delayed declaring a disaster &amp; asking for fed help DON’T YOU DARE pin this on Dems",retweet,"One simple thing you can do to make a difference is NOT retweet or quote tweet ANY of Donald Trump's speeches, interviews, or social media posts. Don't amplify hate, racism and vicious lies.",tweet,"One simple thing you can do to make a difference is NOT retweet or quote tweet ANY of Donald Trump's speeches, interviews, or social media posts. Don't amplify hate, racism and vicious lies.",retweet,"Meet the real VAN JONES He praised Donald Trump and predicted he would be in office for 8 years. He said Trump was responsible for one of the greatest moment in American politics He partnered with Jared Kushner He was ""texting buddies"" with Mike Lee.",retweet,"Meet the real VAN JONES He praised Donald Trump and predicted he would be in office for 8 years. He said Trump was responsible for one of the greatest moment in American politics He partnered with Jared Kushner He was ""texting buddies"" with Mike Lee.",tweet,0,,,,,,,,,,
spclifton,"the GOP Senate leader and GOP OH governor are joining President Biden today to celebrate the infrastructure bill Congress passed 14 months ago it had bipartisan support, but happened only because Democrats controlled Congress 62% of Senate Rs and 93% of House Rs opposed it",retweet,@WalshFreedom It’s on Congress and always has been. Many Republicans refuse to deal with it because they can use the broken system as political blackmail against the Democrats. Nice try to pin it on Biden though.,retweet,Trump's behavior made Biden's case for him now House Republicans are doing the same for House Democrats,retweet,"Seeing Republicans attack Joe Biden for UFOs being shot down over Lake Huron and Lake Michigan, is almost comical when you realize that when Trump was President the US didn't even detect balloons in US airspace, let alone shoot them down. They are so desperate, it's sad.",retweet,"Jim McGovern on GOP bill denouncing socialism: ""'We denounce Kim Jong Un.' Well, not all of us actually. Because in fact, if I remember correctly, it was the leader of the Republican Party, Donald Trump, who said he fell in love with him ... why is Putin left out?""",retweet,"Rep. Jim McGovern explained why it didn't matter whether Democrats voted for that ""Anti-Socialism"" bill. ""This is not just a stupid bill. It's a badly written stupid bill."" I'd prefer no Dems had fallen for such a transparent bit of theater. But it still doesn't matter.",tweet,"As Republicans cheer on Trump Water and ask ""Where's Biden,"" after Biden gave East Palestine, Ohio everything they wanted, let's recall that 3000 people died in Puerto Rico as Trump stalled in providing FEMA and HUD relief. There were literally hospitals without oxygen, food,…",retweet,"A dose of reality: We gained a seat in the Senate. Biden's already adding judges. Trump's personal influence is waning. Jack Smith ain't f*cking around. Youth vote showed up BIG in 2022. If we had better solved gerrymandering and voter suppression, we'd have taken the House too.",retweet,your reminder that Donald Trump fucking bragged about gutting rail safety regulations and every Republican voted with him and Mike DeWine turned down FEMA aid and now these culpable shitfucks have the fucking nerve to blame Joe Biden. fuck that bullshit,retweet,"BREAKING: No classified documents were found at President Biden's home in Rehoboth Beach, Deleware. Unlike Donald Trump, President Biden is willing to let law enforcement come to his properties because he has nothing to hide. Why can't Trump do the same? What is he hiding?",retweet,0,,,,,,,,,,
AAmirKh50764293,"Amir, you really need to get it together. There is no such individual as the Lord God Jesus Christ. The Lord God is Jesus's Father. All Scripture is God-breathed, not Jesus-breathed. God can heal in the name of Jesus Christ. God is eternal, Jesus had a genesis acc. 2 Mt. 1:1,18.",retweet,"Kindness is giving hope to those who think they are all alone in this world. Proverbs 22:9 The generous will themselves be blessed, for they share their food with the poor.✝️ We need your help to feed the poor people",retweet,"Kindness is giving hope to those who think they are all alone in this world. Proverbs 22:9 The generous will themselves be blessed, for they share their food with the poor.✝️ We need your help to feed the poor people",reply,"He saved us, not because of righteous things we had done, but because of his mercy. – Titus 3:5",tweet,"One problem. The catholic church divides the holy sacrament,and does not offer the blood of Christ symbolically. Only the wafers used to represent His body,&amp; then claims it turns into His real flesh &amp; blood,thus sacrificing Him over &amp; over",retweet,"The generous will themselves be blessed, for they share their food with the poor. Proverbs 22:9 God commands us to love others. One of the most simple ways to love is by helping when we see someone in need ✝️🕊️ God bless you",tweet,"The generous will themselves be blessed, for they share their food with the poor. Proverbs 22:9 God commands us to love others. One of the most simple ways to love is by helping when we see someone in need ✝️🕊️ God bless you",tweet,"Offering to assist others in whatever way you can is a blessing. As you extend a helping hand be mindful that the Lord who sees in secret will reward you openly we need your help donate food If you can't feed a hundred people, then feed just one",reply,Praise the Lord Hallelujah all glory goes to our Lord Jesus Christ by the Grace of God we reached mostly unreachable people's with the Love of God and with the Word of God in this critical situation please share your blessing in other deserving people.,tweet,"Simon Peter answered and said, Thou art the Christ, the Son of the living God.Jesus answered and said to him, ""Blessed are you, Simon the Baptist, for this has not been revealed to you by flesh and blood, but by my Father who is in heaven. Mathew 16:16;17✝️🙏",tweet,0,,,,,,,,,,
GRNesh17,"In my opinion Trump needs to chill with the attacks on Desantis right now, our party needs to be unified especially when he’s attacking the most loved Governor on our side , we’re just trying to get through this shit show midterm election right now…",retweet,There is a way out of this democrat takeover of our country... The answer is Trump/DeSantis How do we make them see this? &amp; Make it happen?,retweet,"Georgia, The Senate is at stake. I need you to go out in droves and vote for . He will give the Peach State the America First representation that it deserves.",retweet,"Heavenly Father, We pray over our nation. We pray that You lift up a standard against the enemy, who would destroy our form of government and country. We pray that satan be bound in this effort and that those who are working with him be stopped. Amen.",tweet,Impeach Biden? H/LL no! Remove him as the fraud he is. He didn’t win the 2020 election. I’m not playing along with the charade…,retweet,"Joe Biden seems to have divorced America, his new love interest is Ukraine, Jo(k)e B'idiot should be forced to pay child support to the American people! From his personal bank accounts, make my check payable to the people of East Palestine Ohio",retweet,"Pray for our nation, especially as we look forward to elections tomorrow. Pray especially that God will raise up leaders who will stand for justice and morality, and will seek God’s will in all they do. Amen.",tweet,"“When you hear of wars and rumors of wars, do not be alarmed. Such things must happen, but the end is still to come. Nation will rise against nation, and kingdom against kingdom. There will be earthquakes in various places, and famines. These are the beginning of birth pains.”",tweet,"If he looks like a pastor/priest, and stands in the front of a church, does that mean he teaches ALL truth? Matthew 16:6 “Be careful,” Jesus said to them. “Be on your guard against the yeast of the Pharisees and Sadducees.” 1 Thessalonians 5:21 ""Prove all things....""",retweet,"Considering some institutions are still mandating the COVID shot , let’s not forget what is truly happening behind the scenes. There are over 17K doctors standing together bringing the truth to light even after many have been censored, de-platformed, and discredited.",retweet,0,,,,,,,,,,
RickMyres,Kansas votes in referendum to protect right to abortion really?? They voted to say murder of the unborn is OK? They will answer for that. Lord Jesus I pray to end this insane madness 🙏🙏🙏,tweet,"Mark 11:24-25 24 Therefore I say unto you, What things soever ye desire, when ye pray, believe that ye receive them, and ye shall have them. 25 And when ye stand praying, forgive, if ye have ought against any: that your Father also which is in heaven may forgive you yours.",tweet,A church cannot save you only Jesus can. The church is the meeting place for believers and the lost. Water baptism shows the example of what has already taken place. As in being born again by the Holy Spirit not of ourselves lest any man boast.,tweet,"This is what I'm talking about 2 Corinthians 5:17 KJV 17 Therefore if any man be in Christ, he is a new creature: old things are passed away; behold, all things are become new.",tweet,"2 Peter 2:10 KJV 10 But chiefly them that walk after the flesh in the lust of uncleanness, and despise government. Presumptuous are they, selfwilled, they are not afraid to speak evil of dignities.",tweet,"So there is no such thing as luck for God is always in control. Romans 8:28 KJV 28 And we know that all things work together for good to them that love God, to them who are the called according to his purpose.",tweet,It is sad some people think they are a Christian because of be baptized in water as I was but Jesus called my name I sincerely asked Him and was Spiritually baptized by the blood of Jesus to become born again. Thank you Jesus.,tweet,"Romans 11:22 KJV 22 Behold therefore the goodness and severity of God: on them which fell, severity; but toward thee, goodness, if thou continue in his goodness: otherwise thou also shalt be cut off.",tweet,"Jeremiah 17:9-10 KJV 9 The heart is deceitful above all things, and desperately wicked: who can know it? 10 I the Lord search the heart, I try the reins, even to give every man according to his ways, and according to the fruit of his doings.",tweet,Amen brother Marcus when I as still lost (and thought I was saved I heard plenty of sermons against luck) but one pastor quoted the scripture against luck and did not preach on it. He was not listening to Jesus for his message only his own words🫤,reply,0,,,,,,,,,,
thompsonb2569,"“But if our Gospel be hid, it is hid to them that are lost: in whom the god of this world hath blinded the minds of them which believe not, lest the light of the glorious Gospel of CHRIST, Who is the image of GOD, should shine unto them.” 2 Corinthians 4:3-4 KJV",retweet,"#Pray🧡 Dear Lord I lift up parents who are estranged from their child, and they don't know how to move forward. I thank you for intervening to heal all the scarred places and for being faithful to lead the parents to help others in their own time of need #InJesusNameAmen",retweet,"Remember Warriors.... For you will not leave in a hurry, and you will not have to take flight, because the Lord is going before you, and the god of Israel is your rear guard 🙌🔥🕎🔥⚔️⚖️ Isaiah 52:12 So much is happening that's not being reported... Saturate with God's word",retweet,"The #Science, #Ethics, and Art of Disclosing a #Dementia Diagnosis: How can health care professionals communicate the diagnosis in a way that relieves suffering and helps patients and their caregivers prepare for the future? via #Alzheimers",retweet,"Mark 8:36-37 KJV For what shall it profit a man, if he shall gain the whole world, and lose his own soul? Or what shall a man give in exchange for his soul? -Nothing is worth your soul. Come to Christ and live- #JesusIsLord #Believe",retweet,"🕊Sending Peace &amp; Blessings to each one of u as y’all come on Twitter each day to share &amp; offer support🕊 Love♥️Tammy “I know the plans I have in mind for you, declares the LORD; they are plans for peace, not disaster,to give you a future filled with hope.” ➕Jeremiah 29:11➕",retweet,"this will be the greatest blessing you will ever know. Many of these misguided souls are starved for the love of Jesus. Oh, they’ll talk a big game at first, but deep inside they are lonely little children, in need of the gospel truth. Just like we all are! Truth!",retweet,"God didn't love us because we were lovable, He CHOSE to love us. He SET His love on us and saved us through the blood of His SON. You don't love people because they're lovable, You CHOOSE to love. You don't honour people because they're honourable but because God is Honourable",retweet,"After Pilate handed over Jesus to be crucified, the soldiers took charge of Jesus. Carrying his own cross, Jesus went out to the place of the Skull (which in Aramaic is called Golgotha). There they crucified him, and with him two others - one on each side and Jesus in the middle.",retweet,"#Pray🧡🩵 Dear Lord, I lift up those who are living in the consequences of their sin, and they keep trying to fix what only you can restore. I thank you for leading them to repent and to follow you. I thank you for being God of unlimited second chances. #InJesusNameAmen",retweet,0,,,,,,,,,,
trinitysfaith,Donald Trump is delivering peace to the Middle East. Barack Obama and Joe Biden delivered pallets of cash to Iran. Remember that when you vote this November.,retweet,Sick: Nancy Pelosi tried to insert abortion funding measures into the Chinese Coronavirus response stimulus package I never want to hear that Donald Trump is politicizing this pandemic again while Democrats try this stunt This is a disgrace—Speaker Pelosi should be ashamed RT,retweet,"Socialism Sucks because it lets government pick winners and losers The false choice of “essential” or “non-essential” is tanking the economy EVERY American worker is essential We explain why, &amp; more—only on The Charlie Kirk Show:",retweet,"The Reproductive Health Act is a New York statute enacted on January 22, 2019 that expanded abortion rights and eliminated several restrictions on abortion in the state. The law received national media attention. Senate voted: January 22, 2019 Governor: Andrew Cuomo LOOK👆SNAKE🦅",tweet,"While thousands of Americans are without power because of a faulty energy infrastructure, This is your daily reminder that Joe Biden rescinded a Trump Executive Order banning Chinese involvement in our power grid. Why? 🤔",retweet,"Wow!!! NOW DO SOMETHING ABOUT THIS, THE BIGGEST OF ALL POLITICAL SCANDALS (IN HISTORY)!!! BIDEN, OBAMA AND CROOKED HILLARY LED THIS TREASONOUS PLOT!!! BIDEN SHOULDN’T BE ALLOWED TO RUN - GOT CAUGHT!!!",retweet,In 2016 elections the Media pushed their fake news to support anyone who was opposing @realDonaldTrump . The more they hated on him the more WE Loved Trump for NOT backing down! #2020 is going to be Greater in support 4 Trump. The US will rise from this Stronger than EVER! 🇺🇸✝️🦅,tweet,RT if you’re thankful Donald Trump is leading us through this pandemic and NOT Hillary Clinton!,retweet,Wow: This is what happens at Trump rallies that the media doesn’t want you to see A WWII veteran needed help getting to his seat These 2 proud Americans stepped up and carried him there Does this look the hateful crowd you hear about? RT!,retweet,"As VP, Biden and Obama fattened their wallets &amp; literally turned their backs on Obama and Biden could have saved countless black lives had they used their power to stop abortion being that more black children are dying through abortion than are being born. DoUrWrk",tweet,0,,,,,,,,,,
