mutual,tweet1,type1,tweet2,type2,tweet3,type3,tweet4,type4,tweet5,type5,tweet6,type6,tweet7,type7,tweet8,type8,tweet9,type9,tweet10,type10,rated,p1,c1,p2,c2,p3,c3,p4,c4,p5,c5
subeta,"We can't contain the excitement for 's first full-color images! On Monday, July 11 at 5pm ET (21:00 UTC), President Biden will unveil one of the space telescope's first images of deep space as a preview of what's ahead:",retweet,"Not feeling well today. _(:3」∠)_ Oil change tomorrow (already sent off my vote, so no worries about that. ha.). Was going to get takeaway, but realized they're closed. Then more driving &amp; doing as the week goes on. &amp;... maybe grocery pick up? Not sure.",tweet,"As we hurtle towards the end of Early 2022, a quick Playdate update: Group One's batch of brand new shiny Playdates are on their way to our fulfillment center in California as we speak!! They'll still need to be processed (and gradually shipped) but… it's almost time!",retweet,"While we didn’t vend at MFF, our team WAS there to have some fun. Current status is: crying in our hotel room after seeing.. SO much of what we do, proudly displayed on your beautiful figures. Walking the halls and seeing every 7th person wearing us is just.. it’s overwhelming.",retweet,"Oh man, this slow cooker mac &amp; cheese &amp; meat is just ~too cheesy~ &amp; bland. (but, a lot of them are.) Have to mess with this if I want to do it again, I guess. :d But, it's also pretty easy to just make a roux to white sauce &amp; put cheese in it either. ha.",tweet,"Hello, all! We were able to move the database successfully and everything should be running along smoothly now! There was a period of time where the site was up but the databases were still in a state of crossover, so there were some hiccups with quests and items at the time. 1/n",retweet,Did get the PS5 hooked up &amp; may try playing something in a bit. Happy to have it &amp; happy it worked &amp; wasn't a box of wood. (should probably gulp down some anti-nausea pills. ha.),reply,"Really, I don't know if there are other ending to get, but the way the game mechanics work, I could at least have a different path to the end, I think. And I could bring other people along too? hm. Maybe I'll try choosing all of the idiot responses? Or be more cocky? haha.",reply,"Also groceries. Should have went day 1 but look at the deals! Cheap beyond &amp; a $1 pizza (with part of a bag of $2 Miyoko's). Should have let it melt a bit more, but I was hungry. Not bad, even though I had to cook it in foil (as I didn't want the possibility of cleaning an oven)",reply,GODZILLA WAS A JURASSIC CREATURE THAT EVOLVED FROM A SEA REPTILE INTO A TERRESTRIAL MONSTER AWAKENED BY MANKIND'S NUCLEAR WEAPONS TESTS. OVER TIME GODZILLA ITSELF HAS EVOLVED AND ITS FELLOW KAIJU MONSTERS HAVE COME TO EMBODY THE EMOTIONS AND SOCIAL PROBLEMS OF OUR TIMES!,retweet,0,,,,,,,,,,
supersmd1,BREAKING: Senate Democrats just tried to get Senate Republicans to adjourn for a few days and take the time to actually read their tax bill. RT if you agree that reading bills before they’re voted on is the least we can do.,retweet,UPDATE: Republicans rejected our motion to adjourn until Monday so senators could read the bill they just introduced. RT If you think senators should have time to read a bill that affects every single American.,retweet,Many who voted for trump only think about themselves and their everyday survival not the good of all people. Most is willful ignorance- others it’s not knowing anything else in their small lives. I am grateful I got out of that kind of state everyday.,reply,Our reporters are fact checking President Trump’s first address to Congress,retweet,"Trump talking about how Hilary said ""deplorable."" ""One wrong word in politics can end it all!"" .... apparently not ""pussy"" #america #ugh",tweet,"""That's called business."" —Donald Trump on the housing crash. For millions of Americans it was called ""losing their home."" #DebateNight",retweet,Something that has been quietly slipped into the Republican tax plan: a provision that lets oil and gas companies drill in the Arctic National Wildlife Refuge. This is an attack on pristine lands that belong to the American people.,retweet,Trump: Space Force and Air Force will be 'separate but equal' pretty sure the president has been watching too much #TheExpanse ... but not paying attention..,tweet,"If one person loses their insurance because of the Republican health care plan, that's too many. But 24 million? That’s an abomination.",retweet,"Everything Trump's promising now -- women's rights, environmental protection, children's rights -- is being destroyed by his actual policies",retweet,0,,,,,,,,,,
susie_easton,"Republicans: It’s Joe Biden’s baby formula crisis! Why aren’t Democrats doing more?! ***@HouseDemocrats hold vote to fund more baby formula*** @HouseGOP: NAY!!!!!! ———————————— Hi Republicans, we’re getting shit done to solve problems. What’s your job?",retweet,Not sure why Republicans are acting so shocked by Cawthorn’s alleged revelations about their party. One of their members is being investigated for sex trafficking a minor and they’ve been pretty OK w/ that. They issued more consequences to members who voted to impeach Trump.,retweet,Always pay attention to the story behind the story. Republican operatives are using Kanye West as part of the Trump re-election strategy. They don’t care about him or his mental health. They care about diverting Black voters and creating a new Jill Stein.,retweet,"On behalf of my dad who doesn’t understand Twitter. He voted Republican every election until 2016 when he voted 3rd party in New York. Recently, he moved to swing state, NC and will enthusiastically be voting for Biden. I’m so proud of him ❤️❤️ #LincolnVoter",tweet,"Scientific American has never endorsed a presidential candidate in our 175-year history—until now. The 2020 election is literally a matter of life and death. We urge you to vote for health, science and Joe Biden for President.",retweet,The conservative SCOTUS members have got to be considering that a decision favoring Trump will also benefit any Democratic POTUS going forward. #rachelmaddow #maddow #SCOTUS #TrumpTaxReturns,tweet,I have reasons to believe a higher percentage of Republicans will break for Biden or vote third party than the other way around. Maybe not by a large percentage but it’ll make a difference.,reply,"@JudiciaryGOP This tweet is a stark reminder that the GOP is a brand, not a serious governing party. They like celebrities &amp; the free marketing. But the GOP brand isn't law &amp; order or conservatism. It's what Kanye, Elon, Trump now represent: anti-Semitism, racism, propaganda for war criminals.",retweet,Let’s vote against babies getting baby formula to make Biden look bad” -Republicans,retweet,I’m blocking anyone who isn’t aggressively anti trump untill election is over - sorry no time for your BS,retweet,0,,,,,,,,,,
swagnerforever,@MayorJenny Durkan is horrible and should have never been elected in the first place. Shame on all who voted for her.,reply,"do you guys wanna tell this gun-nut, anti-government, annoying dude we went to high school with that literally no one agrees that, ""donald trump isn't racist because he hired a bunch of mexicans to build his real estate empire,"" or should I? nah, why bother.",tweet,"I just cited a really thorough article chronically Trump's history of bigotry when someone on Facebook asked for ""proof that he's a racist,"" and they responded: ""I see a lot of text. Is there actual evidence anywhere?"" That pretty much says it all right there, folks.",tweet,"Twitter is the worst, most toxic and uneducated platform you could be using to get your political news. This is the platform ""POTUS"" uses to address the country whenever he's bored. Which is, a couple times an hour apparently. Seems like he should have more important shit to do?",tweet,if Trump loses there will be acts of violence. that blood will be on his hands.,tweet,"People are trying to figure out what to call Madame Vice President-Elect Kamala Harris' husband. I suggest, Mr. Kamala Harris.",tweet,"don't think I haven't noticed how much ""Mr. Trump"" I hear on NPR now as opposed to ""President."" and I respect the fuck out of it.",tweet,"I want to dry heave at the quote from our PRESIDENT that states: ""Nobody has been better at the military."" Hopefully we all learn to vote before he learns to speak.",tweet,Trump giving his speech at the 2018 turkey pardon did NOT age well and I'm living for it.,tweet,EYES ON SEATTLE RIGHT NOW. DO NOT IGNORE THIS. THIS MESSAGE IS AIMED AT OUR ELECTED OFFICIALS AND THE PEOPLE WHO SERVE BENEATH THEM. YOU ARE NOT DOING YOUR JOBS.,tweet,0,,,,,,,,,,
tarynnjanine,Member when the government made Microsoft give money to a failing company like Apple so it wouldnt be a monopoly? LMK how APPL is doing. No one put money into it and we have no more Apple Computers right????,reply,Being in crypto for quite some time and holding XRP I have been follwing the SEC v Ripple lawsuit. Judge Sarah Netburn is actually holding up US law while almost mocking the SEC. She is a true American hero and I think we will get clarity on all crypto soon.,tweet,"Oxford Demographics According to the most recent ACS, the racial composition of Oxfordwas: White: 96.19%Two or more races: 2.03%Asian: 1.21%Black or African American: 0.56%Native American: 0.00%Native Hawaiian or Pacific Islander: 0.00%Other race: 0.00%",reply,This is what is amazing with . Even their socials make sure cast members are recognized. And the cast members are what make Epcot (center) authentic. Thanks,quote,"so like i understsnd telling people in the heat, drunk people, people 3 hrs into a show but for fans to yell at the artist every slow part, between songs, and while they are sipping water to STAY HYDRATED I needed to know if this was a thing.",reply,"I belueve Dave Grohl played drums in a little known band called Nirvana before he started fighting foo. They should see if he can. Ending my sarcasm. But it WOULD be cool to see Dave drum on the next tour, use a headset to sing, and get someone to play guitar.",reply,"Total bull shit. Those of us that trusted get no vote and basically, if this goes through, lose most of our FLR. Class action lawsuit if this passes 100%.",reply,again so Tebow should quit while a ton of others are just as bad? Use BP and you can check equally as bad players who have done this for decades. Braxton Davidson was a 1st rounder and sub 200 in like A+. Pick a real fight next time.,reply,"In Los Angeles half our restaurants are tip free now and you get yelled at tipping. I also waited tables here 15 plus years ago and only Americans tip. Any tourist never tipped as it is only here we tip. So dont say everybody, say USA natives.",reply,Its not until you look into her stoner ass glazed eyes that you realize she would be on social security if she was a human. But honestly she has taught me how to be caring and a better person.,reply,0,,,,,,,,,,
taylorr_pattonn,"Pennsylvania Lt. Gov. @JohnFetterman on Trump's baseless fraud claims: ""There isn't any fraud, and he knows that...They can send 1,000 lawyers to Pennsylvania if they want. It's not going to change the underlying dynamic, because this race was conducted with absolute integrity""",retweet,"*will be 🙄 We produced actual evidence of voter fraud. 2 cases. Both R’s. After 2 weeks, why can’t they even produce 1 single case of voter fraud? Why doesn’t their lawsuit mention my Luzerne dude trying to have his dead mom vote for Trump? That’s *actually* fraud.",retweet,3 cases of voter fraud in PA. ✅ 3 PA Counties. ✅ 3 Republicans voting for Trump. ✅ 1 Dead Mom. ✅💀👵🏻 1 town named Forty Fort. ✅ You can’t make this up.,retweet,Lol Marco Rubio making fun of Biden’s picks for his team... meanwhile...to name just a few ... Jared Kushner All the Trump Spawn Omarosa Rick Perry Scott Pruitt Michael Flynn Stephen Miller Ben Carson Betsy Devos Brett Kavanaugh Oh and Trump himself.,tweet,"🚨 Breaking: Emmanuel Macron has been re-elected French president with 58% of the vote, projections show, defeating far-right candidate Marine Le Pen. 🇫🇷 👉",retweet,"Georgia, this is it. Today is Election Day and your vote can help elect @ReverendWarnock and Jon @Ossoff to the U.S. Senate. Make your voice heard today and vote—either in person or by dropping off your mail-in ballot at a ballot drop box.",retweet,President-elect Joe Biden's dogs bring return of presidential pets to the White House.,retweet,So that Erie postal worker made a bunch of sh!t up about voter fraud. Giggle. 🤭 That means the only documented voter fraud in PA is *still* my dude in Luzerne County voting for Trump with his dead mom’s ballot. “Audit” seems to be going well. 😆,retweet,"It seems like these tweets help ease people's minds, so let me reiterate: Trump + his enablers have no legal basis for their frivolous, bizarre lawsuits. They are wasting everyone's time. But as long as they keep it up, we'll keep beating them in court. Enjoy your Friday.",retweet,Good morning PENNSYLVANIA! I’m so excited to see you today and SING for you!!!!!!! I believe in 🎶 YOU &amp; I 🎶 !! Let’s talk about what America looks like with a KINDER President. WE NEED EVERY VOTE❤️ I’m with @JoeBiden —Lets go 24 hrs!!!!!! #Biden #AmericaNeedsPennsylvania,retweet,0,,,,,,,,,,
terry_anent,Debra and I were happy to stand in line early this morning to vote to re-elect Senator Raphael Warnock for a full six-year term in the United States Senate. Please go out and vote early today! #EarlyVote #ReElectSenatorWarnock,retweet,"BREAKING: Speaker Nancy Pelosi drops the HAMMER on Donald Trump after his taxes are released, announces that the House ""will move swiftly to advance"" legislation ""requiring"" the IRS to ""conduct an annual audit of the President's finances."" RT TO THANK SPEAKER PELOSI!",retweet,"Max is a Democrat against Fascism, and backs (Ukraine’s) President Zelensky &amp; President Biden! This resister states “The GQP is the party of insurrection, Racism and Conspiracy Theories! If you want to protect Democracy, follow him! #VeesFriends #democracy 👇",retweet,"Dusty is an Air Force Vietnam Veteran, Proud Democrat and supports Biden &amp; Harris! This resister is fully vaccinated and “Says under President Biden, we are much more respected around the world.” If you are like Dusty, and you vote blue, he is worth the follow!",retweet,"Kempo is a Democrat, a cool guy, Political Junkie, and part of our Blue Crew team! This resister is a chemical geek, and a Martial Artist/Karate expert! He wants to see Trump and company in jail! If you agree with Kempo follow him! #DonksFriends",retweet,"Like everyone else, I lost a lot of followers since Elon reinstated Trump’s Twitter account — in my case, over 3,000. If you're staying on Twitter to keep fighting against MAGA Republicans and their extreme-right agenda, reply to this post and drop a 💙 — I’ll follow you back!",retweet,"Tony is a Democrat, Political junkie, who is riding with Biden, and says “F..K Putin”! This resister is the father to a fur baby named Sammy! If you are like Tony, then follow him! #VeesFriends #DonksFriends #JustKeepConnecting",retweet,"Trump's white fragility would not allow him to admit he lost the 2020 election even though he &amp; everyone around him knows he did. It's 2 &amp; a half years since &amp; he still goes on saying he won! Trump, YOU LOST. Get over it. Move on. Focus on all the legal issues you have. #GoJoe 💙",retweet,"If you only retweet ONE thing today, let it be this list of 156 House Republicans who voted to raise the retirement age for Social Security to age 70. Don't let them get away with it. Make sure EVERYONE knows.",retweet,"Son of two, Irish in Oz, Aston Martin &amp; Liverpool fan, Politically agnostic but DEFINITELY ANTI-TRUMP (he’s a FRAUD, not a politician has 785 followers and would like to meet other never- trumpers like you!",retweet,0,,,,,,,,,,
thatsmytrunks,Here’s how Dems can + must do more than wait for an election. Let’s start w/ why: - 7 of the 9 justices were appointed by a party that hasn’t won a popular vote more than once in 30 years - 1 of those seats was stolen - Several lied to Congress to secure their appointment…,retweet,"Dear followers, mutuals, whatever. If you're voting or have voted for Trump for this year's general election please let me know so I can block you. Of you voted for him in 2016 that's not great but okay, sure. BUT. If you're still voting for him NOW, get the fuck out.",tweet,"In other news, America's billionaires could give everybody in the country a $3,000 stimulus check and still be richer than they were before the pandemic. It's past time for a wealth tax.",retweet,"The purpose of Pride is to find safety in numbers and put pressure on social/political barriers with visibility and protest. The reason it isn't ""family-friendly"" is because you believed we did not belong in your families. ""Family-friendly"" has become an anti-gay dog whistle.",retweet,Remember when Ted Cruz blamed Obama’s rhetoric when a Black man killed a cop? Does the fact that Republicans encouraged the Great White Riot mean they are responsible for an officer’s death and why do you want #TedCruzKilledaCop to trend?,retweet,"If you haven’t been paying attention to the state of anti-trans legislature in the US, PLEASE start now. There are people in positions of power who want to put our right to exist on trial. This is not the start and it is not the end.",retweet,"The American people can't afford to wait any longer. Every working class American needs $2,000 a month. Every unemployed American needs $600 a week. Every American needs healthcare as a human right. No one in America should go hungry or homeless. The do-nothing Senate must act.",retweet,"There are already calls for ""forgiveness"" and ""healing"" and ""reaching out"" now that Joe Biden is elected. I understand the impulse behind these statements, but they are FUNDAMENTALLY immoral Thread",retweet,Earlier this year the NYPD endorsed Trump. Earlier today the NYPD stole PPE from people voting. And tonight they’re blasting Trump 2020 from their work vehicle. Disgusting and unacceptable.,retweet,"After eight months of this pandemic, we finally found President Trump's plan to beat COVID-19.",retweet,0,,,,,,,,,,
theknightshift,"I’m voting against the oil sanctions bill. Biden has no plan to enable development of traditional domestic energy sources. His plan is to buy oil from dictators in other countries, and to use high gas prices to bludgeon American consumers into adopting a leftist energy agenda.",retweet,"NYC. Not the USA. Each state is sovereign and you can really see the differences in how liberal or conservative the government is. Here in Texas, many many people are mask-free. In Florida, even more so.",reply,"Joe Biden says he can’t remember a time when the American economy was stronger than it is today and I, for one, completely believe him.",retweet,"People ask me why I moved to the USA from England, it’s simple - I wanted to be free. In the UK: * No right to bear arms. * No free speech. * 20% sales tax (yes really). * 45% income tax. * Openly socialist politicians. Don’t let the USA become the UK. Defend your freedom. 🇺🇸",retweet,"There was a mildly funny video acting out an American surprised by how cheap prescriptions are in the UK. I commented ""You pay for it in taxes"". That is ALL I said. No bias, no bitter grapes...just a factual statement. Nothing but vitriol and anti-American comments...",tweet,"Yep. They don’t represent everyone and they are politically divisive and cause unrest. The government shouldn’t be promoting unrest, but rather, peace.",reply,I would actually support taxes going to pay for education that teaches critical thinking skills so people don't attack what wasn't said. No one asked if I was actually against taxes paying for healthcare. Or learned that I'm pretty anti-taxes at all.,reply,"Just think All the mess we are in now, is a result of allowing our governments to shut our economy down for 3 weeks",retweet,"Opposing mandates because ""covid isn't that bad"" is just setting government up for the next pandemic that is ""that bad"". We oppose mandates because mandates are always ""that bad"".",retweet,"One of the things, that really bothers me about this, is: The governments buy these vaccines with tax revenues, force them upon their populations, shield the manufacturers from liability, and then act like they don't owe the public raw data about their performance.",retweet,0,,,,,,,,,,
topalphabitch,"Pog for my America welcome to the future of politics! Democrats did it now republicans did it, only a matter of time till its back and forth permanently",reply,I wish that celebrity &amp; influences could be openly republican without backlash but unfortunately it’s only democrats that are allowed to be since social media has told us 100s of times a day left = good right = bad,reply,Yeah us republicans want the population to be uneducated so they can riot and loot whenever we tell them to even if some critical thinking would make them think twice....oh wait that’s democrats,reply,You realize Obama put more kids in immigration camps then trump right?,reply,Democratic Socialists of America National Convention 2019,retweet,Nick Cannon is receiving A LOT of support for calling white people soulless subhuman savages. Anti-white racism is not only acceptable but celebrated. It is the only form of mainstream racism and anyone who pretends to fight racism but ignores this is a cowardly fraud.,retweet,I mean I condemn it and I’m a republican/ trump supporter,reply,@AOC Ayyy respect man you got the fake news right here &amp; spreading it! I’m sure cnn would be so proud of you as an anti racist gender fluid socialist progressive,reply,Damn but when it’s a republican it’s #believeallwomen ? Y’all true colors are showing on your reaction to this and it’s pretty disgusting but nothing unexpected nowadays in politics the double standard is real,reply,Damn but when it’s a republican it’s #believeallwomen ? Y’all true colors are showing on your reaction to this and it’s pretty disgusting but nothing unexpected nowadays in politics the double standard is real,reply,0,,,,,,,,,,
trinitysfaith,"Thank God there are NO elections or politics in Heaven. Jesus is not a Republican nor a Democrat. The government shall be upon his shoulder: His name shall be called Wonderful, Counselor, The mighty God. King of Kings &amp; Lord of Lords. We owe our ultimate allegiance to Him alone.",retweet,"Thank God there are NO elections or politics in Heaven. Jesus is not a Republican nor a Democrat. The government shall be upon his shoulder: His name shall be called Wonderful, Counselor, The mighty God. King of Kings &amp; Lord of Lords. We owe our ultimate allegiance to Him alone.",retweet,We are citizens of heaven governed by God Almighty so we fear not but praise Jesus Christ in every situation because no matter what our redeemer is coming back !amen,retweet,"2 in the Down the Lane series ""If Chris is put on the shelf, you need to step up and lead the war against the Knights MC."" ""Flash, we'll be breaking the biggest rule. I'm not even a member."" ""What rules? We're fucking gangsters. We broke every rule to get here.""",retweet,Pakistani student Adil Rahoo has become the first-ever international and Pakistani student to have been elected as the president of Glasgow Caledonian University,retweet,"Both coward morons are now behind the bars, they are nasty scars on the face of humanity particularly Pashtuns, they beat up their mother &amp; sister with helmet &amp; hammer brutally when they demanded their due rights. This is sad state of woman in our society.",retweet,"Two weeks before the pandemic started, the government (NIAID) and MODERNA signed a confidential agreement regarding COVID VACCINES, how did they know!!?? Anthony Fauci has to answer some questions! #vaccine #vaccineinjury #vaccinedeaths",retweet,"Those who are born again from incorruptible seed being are new creatures in Christ, dead to sin. We are the righteousness of God through Christ. God does not see us as sinners, rather as joint heirs with Jesus Christ...his children holy temples for his Spirit.",reply,"It's not much to ask for. I want solid healthcare, some nice roads and infrastructure, world class education, good social services, and a safety net for those less fortunate. You know, all the stuff that we pay taxes for. Not subsidies and tax breaks for the rich.",retweet,"Lord we pray for those who are set against us as foes to do us harm in any way🇺🇸🌏🕊🙋🏼‍♀️we seek Your counsel🙏Your Mighty Right hand 😎🤓show us the way! Isaiah 🎺🙏TPT 32:18 My people will live free from worry in secure, quiet homes of peace.",retweet,0,,,,,,,,,,
tx_princess78,"@benshapiro I dislike Donald Trump, but Joe Biden is so much worse. He has destroyed this country in two years and now we are paying for it. I work in the medical field full of liberals and even they are saying they will never vote democrat again. Maybe they are just saying that but still.",reply,It won't be to long after the elections they start turning on Biden and each other. The democratic Lt. Governor in Georgia endorsed the Republican gubernatorial candidate. Let's see how long that guy lives once Hillary Clinton finds out.,reply,"@PressSec @POTUS It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he forgot to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,"@elonmusk I'll turn that shit around in 90 days. I would ban every political figure on both sides, every person in media, and anyone who puts a Ukrainian flag and pronouns in there profile. No more Trump, no more Biden, and nor more AOC. It would be a utopia of conversation.",reply,"@SenSanders It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he for got to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,"It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he for got to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,"@JackPosobiec It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he for got to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,"@Timcast It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he for got to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,"It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he for got to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,"@gregkellyusa It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he for got to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,0,,,,,,,,,,
txchristabelle,"Democrats are trying to pass legislation to reduce inflation, prevent a national depression, and help Americans get a handle on their personal finances, but Republicans are voting against it. Want to cripple the economy? Then vote Republican, by all means!",tweet,"@StephenM Republicans will take away Social Security and Medicare, leaving 66 million vulnerable Americans with no safety net. VOTE DEMOCRAT.",reply,"There are fifty Republican US Senators, and not one is willing to cross the aisle to vote to help American families. Not one.",retweet,"The Texas GOP platform: —Demands a referendum on secession —Declares homosexuality is “an abnormal lifestyle choice” —Claims that President Biden ""was not legitimately elected"" —Calls for the abolishment of the Voting Rights Act This is @DanPatrick's agenda. We must beat him.",retweet,"The people who should be watching this won't, but even if they were watching, it wouldn't matter. It's not like they *believe* Trump won, it's that they don't care and don't give a damn about the Constitution or elections or the rule of law. They just don't care.",retweet,"Discouraged by the poor messaging by Democrats. Hate to say it, but Dem voters needed to be scared into voting because they'd lose something essential. If Dems had focused on the Republican plan to cut Social Security/Medicare, they could have Mopped. The. Floor w/ opponents.",reply,"Russia calls for its ""partner Trump"" to be installed as President. Trump calls for Russia to help him politically. All this while Russia commits war crimes through a brutal, unprovoked invasion of another democratic nation. This is the leader of the Republican Party.",retweet,Andrew Yang just said the FBI searching Trump’s home “seems political.” Yang also said this will “ensure” Trump gets re-elected in 2024. Andrew is actively spreading GOP talking points. He’s doing Fox News’ bidding for them. I’ll say it again: Andrew Yang sides with the Fascists.,retweet,"Um, the Republicans are running on cutting Social Security &amp; Medicare. It’s criminal to lie to these voters and trick them into voting against the only safety net they have! #GOPLies #VoteBlue for #SocialSecurity #Medicare",reply,The GOP refusing to raise the debt limit to pay Trump’s bills—while gaslighting the nation into thinking it’s somehow Biden’s fault—should tell you everything you need to know about their descent into performative politics. They don’t represent the people of the United States.,retweet,0,,,,,,,,,,
undeadzerg,"you actually expected progress in a southern, conservative state? voters from your state elected Jeb Bush into office...twice!",reply,"fun fact: if you care about who appears on #SNL, you're officially old - have fun voting in a midterm election or getting a prostate exam or whatever else old people do...",tweet,"Democrats: ""Lets talk about the issues"" Republicans: ""Lets talk about who loves America more""",tweet,In Trump's World: Obama: Kenyan LeBron James: dumb Don Lemon: dumb Maxine Waters: low IQ black countries: shitholes black athletes: SOBs Black tenants: unwelcome Black workers: lazy Central Park 5: guilty Mexicans: rapists Muslims: terrorists Indians: fake Nazis: very fine people,retweet,Trump hasn't even been elected for a full day and he's already fucking up our chocolate bars!,quote,"Lincoln: “4 score and 7 seven years ago…"" JFK: “Ask not what your country can do for you…” Trump: “Actually the Nazis had a permit…""",retweet,listen up conservatives: Obama is choosing the next supreme court justice - man up and accept that as a fact of life...,tweet,"I hope the peeps in Syria enjoy my tax money (I know the bros in Afghanistan, Iraq, Egypt, and Libya sure did)",tweet,"I hate Jemele Hill and Trump equally - both say outlandish BS for attention, both are insufferable trash that society would be better without...",tweet,"I know hindsight is 20/20, but maybe the GOP running a pedophile for U.S. senate wasn’t a very good idea after all...",tweet,0,,,,,,,,,,
vanillaice,"It appears that Jussie Smollett tried to manufacture a hate crime to make Trump supporters look bad and most of the media not only uncritically accepted his lies as facts for weeks, but attacked those who questioned the validity of his false story.",retweet,"@POTUS Economy has got worse. Higher utilities, gas, groceries, inflation.",reply,@thehill I thought she left the country when trump was here?,reply,Our justice system has failed so many adults in recent years such as &amp; . We cannot now allow this flawed system to fail an innocent 17- year old boy who is a political prisoner. We need a public outcry and support for Kyle.,retweet,@FoxNews This is different than when Trump did it?,reply,I find it so amusing that a person can have exactly what theyre looking for right in front of their face yet still continue to search for it,retweet,COME ON STIMULUS I GOT THE BODYWASH UPSIDE DOWN WIT A LIL WATER IN IT🤣🤣🤣,retweet,Help &amp; stop #rhino poaching in Kenya with network of next generation cameras. Vote now:,retweet,The best part of a presidential election is the reasonably priced gas that always mysteriously shows up right before.,retweet,"For 30 years The Insane Clown Posse has constantly spoken up against the social injustice and pure evil that spreads across the globe. Check out our brand new ""FUCK YOUR REBEL FLAG"" Spotify Playlist and prepare to be WOKE!",retweet,0,,,,,,,,,,
varsha_venkat_,"Donald Trump knows he’s losing, and is looking for any excuse to falsely claim election fraud. The best way to make it impossible for Trump to play these dangerous games is to help Joe Biden win in a landslide. VOTE. Make sure your friends and family vote.",retweet,The moral consequence of electing Trump as President is something that we as Americans are going to have to reckon with for a long time.,retweet,Trump's constant comparison of his handling of COVID-19 to Obama's handling of H1N1 in 2009 is baffling to me. Every voting age adult alive today remembers 2009. They know it was nowhere near as bad. Is anyone fooled by this?,tweet,"I just need to note now that the #AlabamaSenateElection has been called, if a major US Mayor, a Democrat, like of San Francisco had died as he did today, President GWBush would have issued a statement expressing condolences. Trump did not offer such today.",retweet,Democrats cheering ex-Republican billionaire Michael Bloomberg as he mocks Trump as a bad entrepreneur. It's that kind of year,retweet,"In other countries, Trump's threats against Clinton would be early warning indicators of political instability or electoral violence.",retweet,"The party of Lincoln once stood on granite-solid ground — promoting free minds, free markets and free people — but no longer. The GOP is now a party of misinformation and false grievances, of protectionism and nativism, of election subversion and anti-democratic sentiment.",retweet,"Okay, repeat after me: ""I prefer some of the Democratic candidates to others, but every single one of them is a thousand times better than Donald Trump, &amp; whichever Democratic candidate becomes the nominee, I will bust my butt to help that candidate get elected."" Thanks.",retweet,"One of many ironies here is that this speech is a million miles away from Trump's dark ""American Carnage"" speech four years ago. And yet there is ACTUAL American carnage right now. Nearly half a million dead. The Capitol ransacked. Yet this speech could not be more different.",retweet,"WASHINGTON (AP) — Democrat Mikulski is 34th senator to support #Iran nuke deal, ensuring landmark Obama victory",retweet,0,,,,,,,,,,
